timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,grid.py_pid,grid.py_cpu_pct,grid.py_rss_mb
1782663911.5976837,2026-06-28T16:25:11Z,1.3,554.2,3394.3,2434,0.0,15.0
1782663916.5984166,2026-06-28T16:25:16Z,1.4,552.6,3395.9,2434,0.0,15.0
1782663921.6009622,2026-06-28T16:25:21Z,1.1,556.8,3391.8,2434,0.0,15.0
1782663926.601695,2026-06-28T16:25:26Z,1.3,559.4,3389.1,2434,0.0,15.0
1782663931.6024315,2026-06-28T16:25:31Z,1.4,554.8,3393.8,2434,0.0,15.0
1782663936.603139,2026-06-28T16:25:36Z,1.2,559.1,3389.5,2434,0.0,15.0
1782663941.6037946,2026-06-28T16:25:41Z,1.0,567.8,3380.7,2434,0.0,15.0
1782663946.6045086,2026-06-28T16:25:46Z,1.4,563.9,3384.6,2434,0.0,15.0
1782663951.6052012,2026-06-28T16:25:51Z,1.3,556.1,3392.4,2434,0.0,15.0
1782663956.6059136,2026-06-28T16:25:56Z,1.3,553.9,3394.6,2434,0.0,15.0
1782663961.606608,2026-06-28T16:26:01Z,1.3,560.0,3388.5,2434,0.0,15.0
1782663966.6073494,2026-06-28T16:26:06Z,1.1,554.5,3394.0,2434,0.0,15.0
1782663971.6080594,2026-06-28T16:26:11Z,1.3,551.1,3397.4,2434,0.0,15.0
1782663976.6087813,2026-06-28T16:26:16Z,1.3,554.9,3393.5,2434,0.0,15.0
1782663981.6095004,2026-06-28T16:26:21Z,1.3,564.1,3384.3,2434,0.2,15.0
1782663986.6101112,2026-06-28T16:26:26Z,1.1,565.3,3383.1,2434,0.0,15.0
1782663991.6108103,2026-06-28T16:26:31Z,1.2,560.3,3388.1,2434,0.0,15.0
1782663996.611527,2026-06-28T16:26:36Z,1.3,554.9,3393.5,2434,0.0,15.0
1782664001.6122425,2026-06-28T16:26:41Z,1.3,553.3,3395.1,2434,0.0,15.0
1782664006.6129942,2026-06-28T16:26:46Z,1.1,551.2,3397.2,2434,0.0,15.0
1782664011.6157486,2026-06-28T16:26:51Z,1.3,554.2,3394.2,2434,0.0,15.0
1782664016.6164656,2026-06-28T16:26:56Z,1.3,551.2,3397.1,2434,0.0,15.0
1782664021.617189,2026-06-28T16:27:01Z,1.2,563.5,3384.8,2434,0.0,15.0
1782664026.617901,2026-06-28T16:27:06Z,1.1,557.4,3391.0,2434,0.2,15.0
1782664031.6201284,2026-06-28T16:27:11Z,1.2,557.2,3391.2,2434,0.0,15.0
1782664036.6248164,2026-06-28T16:27:16Z,1.2,553.4,3395.0,2434,0.0,15.0
1782664041.6255412,2026-06-28T16:27:21Z,1.3,553.4,3395.0,2434,0.0,15.0
1782664046.6262853,2026-06-28T16:27:26Z,1.4,553.1,3395.3,2434,0.0,15.0
1782664051.6269095,2026-06-28T16:27:31Z,1.1,561.9,3386.5,2434,0.0,15.0
1782664056.6276345,2026-06-28T16:27:36Z,1.3,556.7,3391.7,2434,0.0,15.0
1782664061.6283553,2026-06-28T16:27:41Z,1.3,555.5,3393.0,2434,0.0,15.0
1782664066.629088,2026-06-28T16:27:46Z,1.3,555.7,3392.7,2434,0.0,15.0
1782664071.6297984,2026-06-28T16:27:51Z,1.1,558.2,3390.2,2434,0.0,15.0
1782664076.6305335,2026-06-28T16:27:56Z,1.3,564.2,3384.2,2434,0.0,15.0
1782664081.6312406,2026-06-28T16:28:01Z,1.4,563.8,3384.6,2434,0.0,15.0
1782664086.6319542,2026-06-28T16:28:06Z,1.3,564.1,3384.3,2434,0.0,15.0
1782664091.6326787,2026-06-28T16:28:11Z,1.2,558.7,3389.6,2434,0.2,15.0
1782664096.6334221,2026-06-28T16:28:16Z,1.2,555.2,3393.2,2434,0.0,15.0
1782664101.634152,2026-06-28T16:28:21Z,1.4,553.3,3395.0,2434,0.0,15.0
1782664106.6348658,2026-06-28T16:28:26Z,1.3,552.9,3395.4,2434,0.0,15.0
1782664111.6355813,2026-06-28T16:28:31Z,1.3,558.9,3389.4,2434,0.0,15.0
1782664116.6361988,2026-06-28T16:28:36Z,1.1,555.4,3392.9,2434,0.0,15.0
1782664121.6369321,2026-06-28T16:28:41Z,1.3,556.5,3391.7,2434,0.0,15.0
1782664126.637651,2026-06-28T16:28:46Z,1.3,557.5,3390.8,2434,0.0,15.0
1782664131.6383781,2026-06-28T16:28:51Z,1.4,559.4,3388.8,2434,0.0,15.0
1782664136.638998,2026-06-28T16:28:56Z,0.9,556.2,3392.0,2434,0.0,15.0
1782664141.6397018,2026-06-28T16:29:01Z,1.3,552.5,3395.8,2434,0.0,15.0
1782664146.640416,2026-06-28T16:29:06Z,1.3,552.1,3396.4,2434,0.0,15.0
1782664151.641136,2026-06-28T16:29:11Z,1.3,551.1,3397.4,2434,0.0,15.0
1782664156.6418443,2026-06-28T16:29:16Z,1.2,550.1,3398.4,2434,0.0,15.0
1782664161.6425838,2026-06-28T16:29:21Z,1.2,556.8,3391.8,2434,0.0,15.0
1782664166.6432962,2026-06-28T16:29:26Z,1.2,552.8,3395.7,2434,0.0,15.0
1782664171.6440003,2026-06-28T16:29:31Z,1.3,555.1,3393.4,2434,0.0,15.0
1782664176.6447117,2026-06-28T16:29:36Z,1.2,552.4,3396.1,2434,0.2,15.0
1782664181.645329,2026-06-28T16:29:41Z,1.2,551.8,3396.6,2434,0.0,15.0
1782664186.6460724,2026-06-28T16:29:46Z,1.4,550.4,3398.0,2434,0.0,15.0
1782664191.6467953,2026-06-28T16:29:51Z,1.4,549.8,3398.7,2434,0.0,15.0
1782664196.6475306,2026-06-28T16:29:56Z,1.3,550.3,3398.1,2434,0.0,15.0
1782664201.6481676,2026-06-28T16:30:01Z,1.0,550.5,3397.9,2434,0.0,15.0
1782664206.6489036,2026-06-28T16:30:06Z,1.2,551.0,3397.5,2434,0.0,15.0
1782664211.6496415,2026-06-28T16:30:11Z,1.2,550.2,3398.1,2434,0.0,15.0
1782664216.6503599,2026-06-28T16:30:16Z,1.3,549.8,3398.6,2434,0.0,15.0
1782664221.6510732,2026-06-28T16:30:21Z,1.3,550.0,3398.4,2434,0.0,15.0
1782664226.651808,2026-06-28T16:30:26Z,1.0,550.0,3398.3,2434,0.0,15.0
1782664231.6525397,2026-06-28T16:30:31Z,1.4,551.3,3397.2,2434,0.0,15.0
1782664236.6532853,2026-06-28T16:30:36Z,1.3,550.9,3397.6,2434,0.0,15.0
1782664241.6540296,2026-06-28T16:30:41Z,1.3,551.3,3397.2,2434,0.0,15.0
1782664246.6546934,2026-06-28T16:30:46Z,1.1,550.4,3398.0,2434,0.0,15.0
1782664251.6554272,2026-06-28T16:30:51Z,1.3,551.4,3397.1,2434,0.2,15.0
