timestamp_unix,timestamp_iso,cmd,setpoint_kw,latency_ms
1782664653.836,2026-06-28T17:37:33,HIGHER,0.00,427.065
1782664657.716,2026-06-28T17:37:37,LOWER,5.00,215.074
1782664662.327,2026-06-28T17:37:42,LOWER,10.00,781.385
1782664665.738,2026-06-28T17:37:45,HIGHER,0.00,92.343
1782664670.074,2026-06-28T17:37:50,LOWER,5.00,431.063
1782664673.778,2026-06-28T17:37:53,HIGHER,0.00,40.259
1782664678.083,2026-06-28T17:37:58,LOWER,5.00,249.201
1782664682.712,2026-06-28T17:38:02,HIGHER,0.00,784.260
1782664686.156,2026-06-28T17:38:06,LOWER,5.00,132.639
1782664690.361,2026-06-28T17:38:10,HIGHER,0.00,241.943
1782664694.611,2026-06-28T17:38:14,LOWER,5.00,400.552
1782664698.501,2026-06-28T17:38:18,HIGHER,0.00,242.146
1782664702.682,2026-06-28T17:38:22,LOWER,5.00,326.808
1782664706.565,2026-06-28T17:38:26,HIGHER,0.00,210.237
1782664710.744,2026-06-28T17:38:30,LOWER,5.00,295.628
1782664714.621,2026-06-28T17:38:34,HIGHER,0.00,77.206
1782664718.868,2026-06-28T17:38:38,LOWER,5.00,233.165
1782664723.092,2026-06-28T17:38:43,HIGHER,0.00,361.993
1782664726.953,2026-06-28T17:38:46,LOWER,5.00,126.286
1782664731.129,2026-06-28T17:38:51,HIGHER,0.00,202.347
1782664734.989,2026-06-28T17:38:54,LOWER,5.00,108.747
1782664739.244,2026-06-28T17:38:59,HIGHER,0.00,267.585
1782664743.460,2026-06-28T17:39:03,LOWER,5.00,394.735
1782664747.277,2026-06-28T17:39:07,LOWER,10.00,123.650
1782664751.487,2026-06-28T17:39:11,HIGHER,0.00,234.317
1782664755.354,2026-06-28T17:39:15,LOWER,5.00,6.700
1782664759.953,2026-06-28T17:39:19,HIGHER,0.00,605.378
1782664763.763,2026-06-28T17:39:23,LOWER,5.00,316.536
1782664767.605,2026-06-28T17:39:27,LOWER,10.00,203.166
1782664771.822,2026-06-28T17:39:31,HIGHER,0.00,325.209
1782664775.610,2026-06-28T17:39:35,LOWER,5.00,10.919
1782664780.293,2026-06-28T17:39:40,HIGHER,0.00,595.422
1782664783.703,2026-06-28T17:39:43,LOWER,5.00,1.588
1782664787.903,2026-06-28T17:39:47,HIGHER,0.00,202.625
1782664792.127,2026-06-28T17:39:52,LOWER,5.00,325.431
1782664795.936,2026-06-28T17:39:55,HIGHER,0.00,178.862
1782664799.769,2026-06-28T17:39:59,LOWER,5.00,14.750
1782664804.446,2026-06-28T17:40:04,HIGHER,0.00,597.894
1782664808.249,2026-06-28T17:40:08,LOWER,5.00,312.506
1782664812.036,2026-06-28T17:40:12,HIGHER,0.00,5.343
1782664816.276,2026-06-28T17:40:16,LOWER,5.00,249.397
1782664820.135,2026-06-28T17:40:20,HIGHER,0.00,11.417
1782664824.331,2026-06-28T17:40:24,LOWER,5.00,153.794
1782664828.982,2026-06-28T17:40:28,HIGHER,0.00,717.317
1782664832.373,2026-06-28T17:40:32,LOWER,5.00,14.109
1782664836.610,2026-06-28T17:40:36,HIGHER,0.00,161.148
1782664840.830,2026-06-28T17:40:40,LOWER,5.00,293.127
1782664844.692,2026-06-28T17:40:44,HIGHER,0.00,56.285
1782664849.291,2026-06-28T17:40:49,LOWER,5.00,558.632
1782664853.101,2026-06-28T17:40:53,HIGHER,0.00,366.972
1782664856.972,2026-06-28T17:40:56,LOWER,5.00,147.748
1782664861.219,2026-06-28T17:41:01,HIGHER,0.00,340.594
1782664865.025,2026-06-28T17:41:05,LOWER,5.00,46.615
1782664869.189,2026-06-28T17:41:09,HIGHER,0.00,206.680
1782664873.443,2026-06-28T17:41:13,LOWER,5.00,374.700
1782664877.365,2026-06-28T17:41:17,HIGHER,0.00,202.189
1782664881.624,2026-06-28T17:41:21,HIGHER,-10.00,359.439
1782664885.458,2026-06-28T17:41:25,LOWER,-5.00,118.579
1782664889.631,2026-06-28T17:41:29,LOWER,0.00,222.672
1782664893.911,2026-06-28T17:41:33,LOWER,5.00,413.598
1782664897.793,2026-06-28T17:41:37,LOWER,10.00,246.895
1782664901.960,2026-06-28T17:41:41,HIGHER,0.00,317.016
1782664905.776,2026-06-28T17:41:45,HIGHER,-10.00,32.681
1782664910.018,2026-06-28T17:41:50,LOWER,-5.00,182.005
1782664914.316,2026-06-28T17:41:54,LOWER,0.00,391.683
1782664918.163,2026-06-28T17:41:58,LOWER,5.00,142.523
1782664922.445,2026-06-28T17:42:02,HIGHER,0.00,332.819
1782664926.281,2026-06-28T17:42:06,LOWER,5.00,75.022
1782664930.460,2026-06-28T17:42:10,HIGHER,0.00,160.539
1782664934.550,2026-06-28T17:42:14,LOWER,5.00,158.141
1782664938.767,2026-06-28T17:42:18,HIGHER,0.00,331.157
1782664942.610,2026-06-28T17:42:22,LOWER,5.00,84.673
1782664947.251,2026-06-28T17:42:27,HIGHER,0.00,632.119
1782664950.958,2026-06-28T17:42:30,LOWER,5.00,246.799
1782664954.818,2026-06-28T17:42:34,HIGHER,0.00,12.793
1782664958.989,2026-06-28T17:42:38,LOWER,5.00,92.037
1782664963.292,2026-06-28T17:42:43,HIGHER,0.00,303.539
1782664967.239,2026-06-28T17:42:47,LOWER,5.00,161.057
1782664971.466,2026-06-28T17:42:51,HIGHER,0.00,294.445
1782664975.291,2026-06-28T17:42:55,LOWER,5.00,16.284
1782664979.424,2026-06-28T17:42:59,HIGHER,0.00,196.760
1782664983.743,2026-06-28T17:43:03,LOWER,5.00,417.459
1782664987.769,2026-06-28T17:43:07,HIGHER,0.00,351.653
1782664991.572,2026-06-28T17:43:11,HIGHER,-10.00,59.086
1782664996.226,2026-06-28T17:43:16,LOWER,-5.00,618.234
1782665000.048,2026-06-28T17:43:20,LOWER,0.00,348.168
1782665004.234,2026-06-28T17:43:24,LOWER,5.00,438.790
1782665008.319,2026-06-28T17:43:28,HIGHER,0.00,431.754
1782665012.107,2026-06-28T17:43:32,LOWER,5.00,121.924
1782665016.204,2026-06-28T17:43:36,LOWER,10.00,168.903
1782665020.390,2026-06-28T17:43:40,HIGHER,0.00,254.298
1782665024.553,2026-06-28T17:43:44,LOWER,5.00,325.858
1782665028.650,2026-06-28T17:43:48,HIGHER,0.00,334.833
1782665032.431,2026-06-28T17:43:52,LOWER,5.00,25.227
1782665036.550,2026-06-28T17:43:56,HIGHER,0.00,52.408
1782665040.745,2026-06-28T17:44:00,LOWER,5.00,156.736
1782665044.855,2026-06-28T17:44:04,HIGHER,0.00,176.192
1782665049.029,2026-06-28T17:44:09,LOWER,5.00,254.871
1782665053.211,2026-06-28T17:44:13,HIGHER,0.00,340.083
1782665056.930,2026-06-28T17:44:16,LOWER,5.00,5.713
1782665061.046,2026-06-28T17:44:21,HIGHER,0.00,119.757
1782665065.181,2026-06-28T17:44:25,LOWER,5.00,158.813
1782665069.373,2026-06-28T17:44:29,HIGHER,0.00,258.931
1782665073.560,2026-06-28T17:44:33,LOWER,5.00,358.519
1782665077.355,2026-06-28T17:44:37,HIGHER,0.00,50.687
1782665081.445,2026-06-28T17:44:41,LOWER,5.00,42.049
1782665085.574,2026-06-28T17:44:45,HIGHER,0.00,71.469
1782665089.708,2026-06-28T17:44:49,LOWER,5.00,106.927
1782665093.856,2026-06-28T17:44:53,HIGHER,0.00,205.608
1782665098.033,2026-06-28T17:44:58,LOWER,5.00,278.968
1782665102.144,2026-06-28T17:45:02,LOWER,10.00,396.565
1782665105.863,2026-06-28T17:45:05,HIGHER,0.00,16.491
1782665110.067,2026-06-28T17:45:10,LOWER,5.00,128.419
1782665114.260,2026-06-28T17:45:14,HIGHER,0.00,232.244
1782665118.355,2026-06-28T17:45:18,LOWER,5.00,230.349
1782665122.585,2026-06-28T17:45:22,HIGHER,0.00,364.118
1782665126.340,2026-06-28T17:45:26,LOWER,5.00,20.449
1782665130.531,2026-06-28T17:45:30,LOWER,10.00,156.457
1782665134.681,2026-06-28T17:45:34,HIGHER,0.00,207.696
1782665138.733,2026-06-28T17:45:38,LOWER,5.00,171.094
1782665142.893,2026-06-28T17:45:42,HIGHER,0.00,245.222
1782665147.055,2026-06-28T17:45:47,LOWER,5.00,312.110
1782665151.191,2026-06-28T17:45:51,HIGHER,0.00,351.202
1782665154.945,2026-06-28T17:45:54,LOWER,5.00,10.213
1782665159.099,2026-06-28T17:45:59,HIGHER,0.00,74.488
1782665163.245,2026-06-28T17:46:03,LOWER,5.00,128.492
1782665167.434,2026-06-28T17:46:07,HIGHER,0.00,222.640
1782665171.665,2026-06-28T17:46:11,LOWER,5.00,403.829
1782665175.360,2026-06-28T17:46:15,HIGHER,0.00,0.204
