timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,charger.py_pid,charger.py_cpu_pct,charger.py_rss_mb
1782406770.9589384,2026-06-25T16:59:30Z,15.7,316.7,98.5,2597,0.0,8.1
1782406775.9620087,2026-06-25T16:59:35Z,15.7,316.7,98.5,2597,0.0,8.1
1782406780.9651918,2026-06-25T16:59:40Z,16.3,316.7,98.5,2597,0.0,8.1
1782406785.9679358,2026-06-25T16:59:45Z,14.5,316.8,98.4,2597,0.4,8.1
1782406790.9709995,2026-06-25T16:59:50Z,17.3,316.7,98.5,2597,0.0,8.1
1782406795.9738562,2026-06-25T16:59:55Z,13.6,316.7,98.5,2597,0.0,8.1
1782406800.9775143,2026-06-25T17:00:00Z,15.1,316.7,98.5,2597,0.0,8.1
1782406805.9803033,2026-06-25T17:00:05Z,13.3,316.7,98.6,2597,0.0,8.1
1782406810.9852808,2026-06-25T17:00:10Z,14.1,316.7,98.6,2597,0.2,8.1
1782406815.9890776,2026-06-25T17:00:15Z,14.6,316.7,98.6,2597,0.0,8.1
1782406820.991841,2026-06-25T17:00:20Z,15.4,318.5,96.7,2597,0.0,8.1
1782406825.995549,2026-06-25T17:00:25Z,13.3,318.5,96.8,2597,0.2,8.1
1782406830.9983308,2026-06-25T17:00:30Z,15.0,318.5,96.8,2597,0.0,8.1
1782406836.0015178,2026-06-25T17:00:36Z,12.7,318.5,96.8,2597,0.2,8.1
1782406841.004298,2026-06-25T17:00:41Z,16.6,318.4,96.8,2597,0.0,8.1
1782406846.0076766,2026-06-25T17:00:46Z,12.9,318.4,96.8,2597,0.0,8.1
1782406851.0104277,2026-06-25T17:00:51Z,14.9,318.4,96.8,2597,0.0,8.1
1782406856.0132809,2026-06-25T17:00:56Z,12.5,318.4,96.8,2597,0.0,8.1
1782406861.0177643,2026-06-25T17:01:01Z,15.5,318.4,96.8,2597,0.2,8.1
1782406866.020591,2026-06-25T17:01:06Z,17.0,318.4,96.8,2597,0.2,8.1
1782406871.0235567,2026-06-25T17:01:11Z,14.8,318.4,96.8,2597,0.0,8.1
1782406876.030383,2026-06-25T17:01:16Z,17.0,318.4,96.9,2597,0.2,8.1
1782406881.0332665,2026-06-25T17:01:21Z,15.0,318.4,96.9,2597,0.0,8.1
1782406886.0372925,2026-06-25T17:01:26Z,14.9,318.3,96.9,2597,0.0,8.1
1782406891.040152,2026-06-25T17:01:31Z,15.4,318.3,96.9,2597,0.2,8.1
1782406896.0436232,2026-06-25T17:01:36Z,23.8,318.3,96.9,2597,0.0,8.1
1782406901.046797,2026-06-25T17:01:41Z,12.4,318.3,96.9,2597,0.0,8.1
1782406906.0504963,2026-06-25T17:01:46Z,16.4,318.3,96.9,2597,0.0,8.1
1782406911.0534112,2026-06-25T17:01:51Z,12.0,318.3,96.9,2597,0.0,8.1
1782406916.0568674,2026-06-25T17:01:56Z,18.0,318.3,96.9,2597,0.2,8.1
1782406921.0600905,2026-06-25T17:02:01Z,12.4,318.3,96.9,2597,0.0,8.1
1782406926.0635188,2026-06-25T17:02:06Z,16.1,318.3,96.9,2597,0.0,8.1
1782406931.066409,2026-06-25T17:02:11Z,12.9,318.3,97.0,2597,0.2,8.1
1782406936.0702426,2026-06-25T17:02:16Z,15.7,318.6,96.7,2597,0.0,8.1
1782406941.0731215,2026-06-25T17:02:21Z,12.4,318.6,96.6,2597,0.2,8.1
1782406946.0761588,2026-06-25T17:02:26Z,14.7,318.6,96.6,2597,0.0,8.1
1782406951.0789158,2026-06-25T17:02:31Z,13.6,318.6,96.6,2597,0.2,8.1
1782406956.0820112,2026-06-25T17:02:36Z,13.8,318.6,96.6,2597,0.0,8.1
1782406961.0847857,2026-06-25T17:02:41Z,13.8,318.6,96.6,2597,0.0,8.1
1782406966.0874982,2026-06-25T17:02:46Z,13.7,318.6,96.7,2597,0.0,8.1
1782406971.091976,2026-06-25T17:02:51Z,13.7,318.6,96.7,2597,0.0,8.1
1782406976.0947526,2026-06-25T17:02:56Z,16.3,318.6,96.6,2597,0.2,8.1
1782406981.097583,2026-06-25T17:03:01Z,15.2,318.6,96.6,2597,0.0,8.1
1782406986.1003993,2026-06-25T17:03:06Z,16.3,318.6,96.6,2597,0.0,8.1
1782406991.103404,2026-06-25T17:03:11Z,15.2,318.6,96.6,2597,0.0,8.1
1782406996.1062813,2026-06-25T17:03:16Z,12.9,318.6,96.6,2597,0.2,8.1
1782407001.1097112,2026-06-25T17:03:21Z,14.1,318.6,96.6,2597,0.0,8.1
1782407006.1128423,2026-06-25T17:03:26Z,13.8,318.6,96.6,2597,0.0,8.1
1782407011.1160433,2026-06-25T17:03:31Z,14.0,318.6,96.6,2597,0.2,8.1
1782407016.1188054,2026-06-25T17:03:36Z,13.9,318.6,96.6,2597,0.0,8.1
1782407021.1216378,2026-06-25T17:03:41Z,17.4,284.4,130.8,2597,0.0,8.1
1782407026.1246111,2026-06-25T17:03:46Z,1.3,135.4,279.8,2597,0.2,8.3
