timestamp_unix,timestamp_iso,direction,size_bytes,cumulative_rx_bytes,cumulative_tx_bytes
1782663700.810,2026-06-28T17:21:40,rx,64,6179,5996
1782663701.105,2026-06-28T17:21:41,tx,41,6179,6037
1782663701.351,2026-06-28T17:21:41,rx,64,6243,6037
1782663701.636,2026-06-28T17:21:41,tx,41,6243,6078
1782663701.912,2026-06-28T17:21:41,rx,64,6307,6078
1782663702.140,2026-06-28T17:21:42,tx,41,6307,6119
1782663702.383,2026-06-28T17:21:42,rx,64,6371,6119
1782663702.642,2026-06-28T17:21:42,tx,41,6371,6160
1782663702.933,2026-06-28T17:21:42,rx,64,6435,6160
1782663703.151,2026-06-28T17:21:43,tx,41,6435,6201
1782663703.386,2026-06-28T17:21:43,rx,64,6499,6201
1782663703.650,2026-06-28T17:21:43,tx,41,6499,6242
1782663703.927,2026-06-28T17:21:43,rx,64,6563,6242
1782663704.159,2026-06-28T17:21:44,tx,41,6563,6283
1782663704.444,2026-06-28T17:21:44,rx,64,6627,6283
1782663704.718,2026-06-28T17:21:44,tx,41,6627,6324
1782663704.957,2026-06-28T17:21:44,rx,64,6691,6324
1782663705.202,2026-06-28T17:21:45,tx,41,6691,6365
1782663705.503,2026-06-28T17:21:45,rx,64,6755,6365
1782663705.789,2026-06-28T17:21:45,tx,41,6755,6406
1782663706.032,2026-06-28T17:21:46,rx,64,6819,6406
1782663706.275,2026-06-28T17:21:46,tx,41,6819,6447
1782663706.948,2026-06-28T17:21:46,rx,64,6883,6447
1782663707.240,2026-06-28T17:21:47,tx,41,6883,6488
1782663707.489,2026-06-28T17:21:47,rx,64,6947,6488
1782663707.780,2026-06-28T17:21:47,tx,41,6947,6529
1782663708.076,2026-06-28T17:21:48,rx,64,7011,6529
1782663708.314,2026-06-28T17:21:48,tx,41,7011,6570
1782663708.616,2026-06-28T17:21:48,rx,64,7075,6570
1782663709.289,2026-06-28T17:21:49,tx,41,7075,6611
1782663709.542,2026-06-28T17:21:49,rx,64,7139,6611
1782663709.782,2026-06-28T17:21:49,tx,41,7139,6652
1782663710.075,2026-06-28T17:21:50,rx,64,7203,6652
1782663710.327,2026-06-28T17:21:50,tx,41,7203,6693
1782663710.572,2026-06-28T17:21:50,rx,64,7267,6693
1782663710.815,2026-06-28T17:21:50,tx,41,7267,6734
1782663711.113,2026-06-28T17:21:51,rx,64,7331,6734
1782663711.395,2026-06-28T17:21:51,tx,41,7331,6775
1782663711.647,2026-06-28T17:21:51,rx,64,7395,6775
1782663711.891,2026-06-28T17:21:51,tx,41,7395,6816
1782663712.154,2026-06-28T17:21:52,rx,64,7459,6816
1782663712.420,2026-06-28T17:21:52,tx,41,7459,6857
1782663712.664,2026-06-28T17:21:52,rx,64,7523,6857
1782663712.933,2026-06-28T17:21:52,tx,41,7523,6898
1782663713.205,2026-06-28T17:21:53,rx,64,7587,6898
1782663713.424,2026-06-28T17:21:53,tx,41,7587,6939
1782663713.716,2026-06-28T17:21:53,rx,64,7651,6939
1782663713.988,2026-06-28T17:21:53,tx,41,7651,6980
1782663714.222,2026-06-28T17:21:54,rx,64,7715,6980
1782663714.465,2026-06-28T17:21:54,tx,41,7715,7021
1782663714.762,2026-06-28T17:21:54,rx,64,7779,7021
1782663715.049,2026-06-28T17:21:55,tx,41,7779,7062
1782663715.295,2026-06-28T17:21:55,rx,64,7843,7062
1782663715.539,2026-06-28T17:21:55,tx,41,7843,7103
1782663715.834,2026-06-28T17:21:55,rx,64,7907,7103
1782663716.126,2026-06-28T17:21:56,tx,41,7907,7144
1782663716.384,2026-06-28T17:21:56,rx,64,7971,7144
1782663716.626,2026-06-28T17:21:56,tx,41,7971,7185
1782663717.318,2026-06-28T17:21:57,rx,64,8035,7185
1782663717.583,2026-06-28T17:21:57,tx,41,8035,7226
1782663717.843,2026-06-28T17:21:57,rx,64,8099,7226
1782663718.065,2026-06-28T17:21:58,tx,41,8099,7267
1782663718.317,2026-06-28T17:21:58,rx,64,8163,7267
1782663718.599,2026-06-28T17:21:58,tx,41,8163,7308
1782663718.870,2026-06-28T17:21:58,rx,64,8227,7308
1782663719.519,2026-06-28T17:21:59,tx,41,8227,7349
1782663719.762,2026-06-28T17:21:59,rx,64,8291,7349
1782663720.019,2026-06-28T17:22:00,tx,41,8291,7390
1782663720.312,2026-06-28T17:22:00,rx,64,8355,7390
1782663720.589,2026-06-28T17:22:00,tx,41,8355,7431
1782663720.813,2026-06-28T17:22:00,rx,64,8419,7431
1782663721.031,2026-06-28T17:22:01,tx,41,8419,7472
1782663721.291,2026-06-28T17:22:01,rx,64,8483,7472
1782663721.547,2026-06-28T17:22:01,tx,41,8483,7513
