cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
610,82.9665,28105.33,170.3353,41.913,0.0,27.5,27.4
611,82.9411,28147.23,170.5893,41.9,0.0,27.5,27.4
612,82.9157,28189.117,170.8431,41.887,0.0,27.5,27.39
613,82.8903,28230.992,171.0969,41.875,0.0,27.5,27.38
614,82.8649,28272.853,171.3506,41.862,0.0,27.5,27.37
615,82.8396,28314.702,171.6043,41.849,0.0,27.5,27.37
616,82.8142,28356.538,171.8578,41.836,0.0,27.5,27.36
617,82.7889,28398.362,172.1113,41.823,0.0,27.5,27.35
618,82.7635,28440.172,172.3647,41.81,0.0,27.5,27.34
619,82.7382,28481.97,172.618,41.798,0.0,27.5,27.34
620,82.7129,28523.755,172.8712,41.785,0.0,27.5,27.33
621,82.6876,28565.527,173.1244,41.772,0.0,27.5,27.32
622,82.6623,28607.286,173.3775,41.759,0.0,27.5,27.31
623,82.6369,28649.033,173.6305,41.747,0.0,27.5,27.31
624,82.6117,28690.767,173.8834,41.734,0.0,27.5,27.3
625,82.5864,28732.488,174.1363,41.721,0.0,27.5,27.29
626,82.5611,28774.196,174.3891,41.708,0.0,27.5,27.29
627,82.5358,28815.891,174.6418,41.695,0.0,27.5,27.28
628,82.5106,28857.574,174.8944,41.683,0.0,27.5,27.27
629,82.4853,28899.241,175.1469,41.667,0.0,27.5,27.5
630,82.4601,28940.898,175.3994,41.657,0.0,27.5,27.49
631,82.4348,28982.542,175.6518,41.644,0.0,27.5,27.49
632,82.4096,29024.174,175.9041,41.632,0.0,27.5,27.48
633,82.3844,29065.793,176.1563,41.619,0.0,27.5,27.47
634,82.3592,29107.399,176.4085,41.606,0.0,27.5,27.47
635,82.3339,29148.993,176.6606,41.593,0.0,27.5,27.46
636,82.3087,29190.573,176.9126,41.581,0.0,27.5,27.45
637,82.2836,29232.141,177.1645,41.568,0.0,27.5,27.44
638,82.2584,29273.697,177.4163,41.555,0.0,27.5,27.44
639,82.2332,29315.239,177.6681,41.543,0.0,27.5,27.43
640,82.208,29356.769,177.9198,41.53,0.0,27.5,27.42
641,82.1829,29398.286,178.1714,41.517,0.0,27.5,27.41
642,82.1577,29439.791,178.423,41.504,0.0,27.5,27.41
